,dBm,distance
0,-7,0.0871497878956355
12,-7,0.0871497878956355
24,-7,0.0871497878956355
36,-7,0.0871497878956355
48,-7,0.0871497878956355
60,-7,0.0871497878956355
72,-7,0.0871497878956355
84,-7,0.0871497878956355
96,-7,0.0871497878956355
108,-7,0.0871497878956355
120,-7,0.0871497878956355
132,-7,0.0871497878956355
144,-9,0.0871497878956355
156,-9,0.0871497878956355
168,-9,0.0871497878956355
180,-9,0.0871497878956355
192,-9,0.0871497878956355
204,-9,0.0928922871523703
216,-9,0.0928922871523703
228,-9,0.0928922871523703
240,-9,0.0928922871523703
252,-9,0.0928922871523703
264,-9,0.0928922871523703
276,-9,0.1014509929889712
288,-9,0.1014509929889712
300,-9,0.1014509929889712
312,-9,0.1014509929889712
324,-9,0.1014509929889712
336,-9,0.1014509929889712
348,-9,0.1014509929889712
360,-9,0.1210629851159532
372,-9,0.1210629851159532
384,-9,0.1210629851159532
396,-9,0.1210629851159532
408,-9,0.1210629851159532
420,-9,0.1210629851159532
432,-9,0.1210629851159532
444,-9,0.1160828393300105
456,-9,0.1160828393300105
468,-1,0.1160828393300105
480,-1,0.1160828393300105
492,-1,0.1160828393300105
504,-1,0.1160828393300105
516,-1,0.1160828393300105
528,-1,0.1140066027681844
540,-1,0.1140066027681844
552,-1,0.1140066027681844
564,-1,0.1140066027681844
576,-1,0.1140066027681844
588,-1,0.1140066027681844
600,-1,0.1178486314756142
612,-1,0.1178486314756142
624,-1,0.1178486314756142
636,-1,0.1178486314756142
648,-1,0.1178486314756142
660,-1,0.1178486314756142
672,-1,0.1203332528642836
684,-1,0.1203332528642836
696,-1,0.1203332528642836
708,-1,0.1203332528642836
720,-1,0.1203332528642836
732,-1,0.1203332528642836
744,-1,0.1203332528642836
756,-1,0.116755432043816
768,-1,0.116755432043816
780,-7,0.116755432043816
792,-7,0.116755432043816
804,-7,0.116755432043816
816,-7,0.116755432043816
828,-7,0.116755432043816
840,-7,0.1152555028597174
852,-7,0.1152555028597174
864,-7,0.1152555028597174
876,-7,0.1152555028597174
888,-7,0.1152555028597174
900,-7,0.1152555028597174
912,-7,0.114756575831001
924,-7,0.114756575831001
936,-7,0.114756575831001
948,-7,0.114756575831001
961,-7,0.114756575831001
974,-7,0.114756575831001
987,-7,0.114756575831001
1000,-7,0.1142331823024725
1013,-7,0.1142331823024725
1026,-7,0.1142331823024725
1039,-7,0.1142331823024725
1052,-7,0.1142331823024725
1065,-7,0.1142331823024725
1078,-7,0.1142331823024725
1091,-7,0.1135307499305215
1104,-7,0.1135307499305215
1117,-7,0.1135307499305215
1131,-7,0.1135307499305215
1145,-7,0.1135307499305215
1159,-7,0.1135307499305215
1173,-7,0.1129979624852649
1187,-7,0.1129979624852649
1201,-7,0.1129979624852649
1215,-7,0.1129979624852649
1229,-7,0.1129979624852649
1243,-7,0.1129979624852649
1257,-7,0.1126179132857531
1271,-7,0.1126179132857531
1285,-7,0.1126179132857531
1299,-11,0.1126179132857531
1313,-11,0.1126179132857531
1327,-11,0.1126179132857531
1341,-11,0.1141111488422916
1355,-11,0.1141111488422916
1369,-11,0.1141111488422916
1383,-11,0.1141111488422916
1397,-11,0.1141111488422916
1411,-11,0.1141111488422916
1425,-11,0.1138609388846083
1439,-11,0.1138609388846083
1453,-11,0.1138609388846083
1467,-11,0.1138609388846083
1481,-11,0.1138609388846083
1495,-11,0.1138609388846083
1509,-11,0.1138609388846083
1523,-11,0.1137353915911141
1537,-11,0.1137353915911141
1551,-11,0.1137353915911141
1565,-11,0.1137353915911141
1579,-11,0.1137353915911141
1593,-11,0.1137353915911141
1607,-11,0.1132389131708172
1621,-11,0.1132389131708172
1635,-11,0.1132389131708172
1649,-3,0.1132389131708172
1664,-3,0.1132389131708172
1679,-3,0.1132389131708172
1694,-3,0.112865510781576
1709,-3,0.112865510781576
1724,-3,0.112865510781576
