,Unnamed: 0.1,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed,lat,lon
844,844,852,25.36761,51.551255000000005,0.0,0.0,1561285856863,0,GSM,True,40282,9402,427,1,7,4,0.0,25.367661,51.550369
845,845,853,25.36761,51.551255000000005,0.0,0.0,1561285856863,1,GSM,False,40281,9402,427,1,-39,4,0.0,25.368256,51.557053
846,846,854,25.36761,51.551255000000005,0.0,0.0,1561285856863,2,GSM,False,29173,9402,427,1,-75,4,0.0,25.366287,51.551102
847,847,855,25.36761,51.551255000000005,0.0,0.0,1561285856863,3,GSM,False,40721,9402,427,1,-89,4,0.0,25.370682,51.550003
848,848,856,25.36761,51.551255000000005,0.0,0.0,1561285856863,4,GSM,False,22961,9401,427,1,-93,3,0.0,25.329208,51.529876
849,849,857,25.36761,51.551255000000005,0.0,0.0,1561285856863,5,GSM,False,45953,9402,427,1,-97,3,0.0,25.365215,51.548592
850,850,858,25.36761,51.551255000000005,0.0,0.0,1561285856863,6,GSM,False,41631,9402,427,1,-99,2,0.0,25.371414,51.550186
851,851,859,25.36761,51.551255000000005,0.0,0.0,1561285856863,7,GSM,True,17383,120,427,2,-11,4,0.0,25.368232,51.550961
852,852,860,25.36761,51.551255000000005,0.0,0.0,1561285856863,8,GSM,False,17382,120,427,2,3,4,0.0,25.3502655,51.53068542
853,853,861,25.36761,51.551255000000005,0.0,0.0,1561285856863,9,GSM,False,17381,120,427,2,-25,4,0.0,25.362966,51.554779
854,854,862,25.36761,51.551255000000005,0.0,0.0,1561285856863,10,GSM,False,16573,120,427,2,-53,4,0.0,25.33103943,51.53343201
855,855,863,25.36761,51.551255000000005,0.0,0.0,1561285856863,11,GSM,False,10022,120,427,2,-73,4,0.0,25.368139,51.546364
856,856,864,25.36761,51.551255000000005,0.0,0.0,1561285856863,12,GSM,False,16572,120,427,2,-75,4,0.0,25.336533,51.532517
857,857,865,25.36761,51.551255000000005,0.0,0.0,1561285856863,13,GSM,False,10681,120,427,2,-81,4,0.0,25.359568,51.564293
858,858,868,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,0,GSM,True,40282,9402,427,1,-7,4,0.0,25.367661,51.550369
859,859,869,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,1,GSM,False,40283,9402,427,1,-15,4,0.0,25.369492,51.550598
860,860,870,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,2,GSM,False,40281,9402,427,1,-37,4,0.0,25.368256,51.557053
861,861,871,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,3,GSM,False,29173,9402,427,1,-71,4,0.0,25.366287,51.551102
862,862,872,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,4,GSM,False,29171,9402,427,1,-73,4,0.0,25.365463,51.559982
863,863,873,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,5,GSM,False,40721,9402,427,1,-85,4,0.0,25.370682,51.550003
864,864,874,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,6,GSM,False,22961,9401,427,1,-91,3,0.0,25.329208,51.529876
865,865,875,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,7,GSM,True,17383,120,427,2,-11,4,0.0,25.368232,51.550961
866,866,876,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,8,GSM,False,17382,120,427,2,3,4,0.0,25.3502655,51.53068542
867,867,877,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,9,GSM,False,17381,120,427,2,-25,4,0.0,25.362966,51.554779
868,868,878,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,10,GSM,False,16573,120,427,2,-53,4,0.0,25.33103943,51.53343201
869,869,879,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,11,GSM,False,10022,120,427,2,-73,4,0.0,25.368139,51.546364
870,870,880,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,12,GSM,False,16572,120,427,2,-75,4,0.0,25.336533,51.532517
871,871,881,25.36758166666667,51.551253333333335,0.0,0.0,1561285857987,13,GSM,False,10681,120,427,2,-81,4,0.0,25.359568,51.564293
872,872,882,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,0,GSM,True,40282,9402,427,1,-7,4,0.0,25.367661,51.550369
873,873,883,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,1,GSM,False,40283,9402,427,1,-15,4,0.0,25.369492,51.550598
874,874,884,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,2,GSM,False,40281,9402,427,1,-37,4,0.0,25.368256,51.557053
875,875,885,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,3,GSM,False,29173,9402,427,1,-71,4,0.0,25.366287,51.551102
876,876,886,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,4,GSM,False,29171,9402,427,1,-73,4,0.0,25.365463,51.559982
877,877,887,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,5,GSM,False,40721,9402,427,1,-85,4,0.0,25.370682,51.550003
878,878,888,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,6,GSM,False,22961,9401,427,1,-91,3,0.0,25.329208,51.529876
879,879,889,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,7,GSM,True,17383,120,427,2,-11,4,0.0,25.368232,51.550961
880,880,890,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,8,GSM,False,17382,120,427,2,3,4,0.0,25.3502655,51.53068542
881,881,891,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,9,GSM,False,17381,120,427,2,-25,4,0.0,25.362966,51.554779
882,882,892,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,10,GSM,False,16573,120,427,2,-53,4,0.0,25.33103943,51.53343201
883,883,893,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,11,GSM,False,10022,120,427,2,-73,4,0.0,25.368139,51.546364
884,884,894,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,12,GSM,False,16572,120,427,2,-75,4,0.0,25.336533,51.532517
885,885,895,25.367551666666667,51.551251666666666,0.0,0.0,1561285858845,13,GSM,False,10681,120,427,2,-81,4,0.0,25.359568,51.564293
886,886,896,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,0,GSM,True,40282,9402,427,1,-7,4,0.0,25.367661,51.550369
887,887,897,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,1,GSM,False,40283,9402,427,1,-15,4,0.0,25.369492,51.550598
888,888,898,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,2,GSM,False,40281,9402,427,1,-37,4,0.0,25.368256,51.557053
889,889,899,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,3,GSM,False,29173,9402,427,1,-71,4,0.0,25.366287,51.551102
890,890,900,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,4,GSM,False,29171,9402,427,1,-73,4,0.0,25.365463,51.559982
891,891,901,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,5,GSM,False,40721,9402,427,1,-85,4,0.0,25.370682,51.550003
892,892,902,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,6,GSM,False,22961,9401,427,1,-91,3,0.0,25.329208,51.529876
893,893,903,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,7,GSM,True,17383,120,427,2,-11,4,0.0,25.368232,51.550961
894,894,904,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,8,GSM,False,17382,120,427,2,3,4,0.0,25.3502655,51.53068542
895,895,905,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,9,GSM,False,17381,120,427,2,-25,4,0.0,25.362966,51.554779
896,896,906,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,10,GSM,False,16573,120,427,2,-53,4,0.0,25.33103943,51.53343201
897,897,907,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,11,GSM,False,10022,120,427,2,-73,4,0.0,25.368139,51.546364
898,898,908,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,12,GSM,False,16572,120,427,2,-75,4,0.0,25.336533,51.532517
899,899,909,25.367518333333336,51.55124000000001,0.0,0.0,1561285859872,13,GSM,False,10681,120,427,2,-81,4,0.0,25.359568,51.564293
900,900,910,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,0,GSM,True,40282,9402,427,1,-7,4,0.0,25.367661,51.550369
901,901,911,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,1,GSM,False,40283,9402,427,1,-15,4,0.0,25.369492,51.550598
902,902,912,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,2,GSM,False,40281,9402,427,1,-37,4,0.0,25.368256,51.557053
903,903,913,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,3,GSM,False,29173,9402,427,1,-71,4,0.0,25.366287,51.551102
904,904,914,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,4,GSM,False,29171,9402,427,1,-73,4,0.0,25.365463,51.559982
905,905,915,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,5,GSM,False,40721,9402,427,1,-85,4,0.0,25.370682,51.550003
906,906,916,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,6,GSM,False,22961,9401,427,1,-91,3,0.0,25.329208,51.529876
907,907,917,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,7,GSM,True,17383,120,427,2,-11,4,0.0,25.368232,51.550961
908,908,918,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,8,GSM,False,17382,120,427,2,3,4,0.0,25.3502655,51.53068542
909,909,919,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,9,GSM,False,17381,120,427,2,-25,4,0.0,25.362966,51.554779
910,910,920,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,10,GSM,False,16573,120,427,2,-53,4,0.0,25.33103943,51.53343201
911,911,921,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,11,GSM,False,10022,120,427,2,-73,4,0.0,25.368139,51.546364
912,912,922,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,12,GSM,False,16572,120,427,2,-75,4,0.0,25.336533,51.532517
913,913,923,25.36748333333333,51.55122833333333,0.0,0.0,1561285861308,13,GSM,False,10681,120,427,2,-81,4,0.0,25.359568,51.564293
914,914,924,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,0,GSM,True,40282,9402,427,1,-15,4,0.0,25.367661,51.550369
915,915,925,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,1,GSM,False,40283,9402,427,1,-21,4,0.0,25.369492,51.550598
916,916,926,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,2,GSM,False,40281,9402,427,1,-41,4,0.0,25.368256,51.557053
917,917,927,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,3,GSM,False,29173,9402,427,1,-69,4,0.0,25.366287,51.551102
918,918,928,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,4,GSM,False,29171,9402,427,1,-73,4,0.0,25.365463,51.559982
919,919,929,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,5,GSM,False,40721,9402,427,1,-85,4,0.0,25.370682,51.550003
920,920,930,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,6,GSM,False,22961,9401,427,1,-85,4,0.0,25.329208,51.529876
921,921,931,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,7,GSM,True,17382,120,427,2,13,4,0.0,25.3502655,51.53068542
922,922,932,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,8,GSM,False,17381,120,427,2,-41,4,0.0,25.362966,51.554779
923,923,933,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,9,GSM,False,16573,120,427,2,-49,4,0.0,25.33103943,51.53343201
924,924,934,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,10,GSM,False,16572,120,427,2,-75,4,0.0,25.336533,51.532517
925,925,935,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,11,GSM,False,10022,120,427,2,-83,4,0.0,25.368139,51.546364
926,926,936,25.367456666666666,51.551226666666665,0.0,0.0,1561285862008,12,GSM,False,10681,120,427,2,-101,2,0.0,25.359568,51.564293
927,927,937,25.36743,51.55122333333334,0.0,0.0,1561285862798,0,GSM,True,40282,9402,427,1,-15,4,0.0,25.367661,51.550369
928,928,938,25.36743,51.55122333333334,0.0,0.0,1561285862798,1,GSM,False,40283,9402,427,1,-21,4,0.0,25.369492,51.550598
929,929,939,25.36743,51.55122333333334,0.0,0.0,1561285862798,2,GSM,False,40281,9402,427,1,-41,4,0.0,25.368256,51.557053
930,930,940,25.36743,51.55122333333334,0.0,0.0,1561285862798,3,GSM,False,29173,9402,427,1,-69,4,0.0,25.366287,51.551102
931,931,941,25.36743,51.55122333333334,0.0,0.0,1561285862798,4,GSM,False,29171,9402,427,1,-73,4,0.0,25.365463,51.559982
932,932,942,25.36743,51.55122333333334,0.0,0.0,1561285862798,5,GSM,False,40721,9402,427,1,-85,4,0.0,25.370682,51.550003
933,933,943,25.36743,51.55122333333334,0.0,0.0,1561285862798,6,GSM,False,22961,9401,427,1,-85,4,0.0,25.329208,51.529876
934,934,944,25.36743,51.55122333333334,0.0,0.0,1561285862798,7,GSM,True,17382,120,427,2,13,4,0.0,25.3502655,51.53068542
935,935,945,25.36743,51.55122333333334,0.0,0.0,1561285862798,8,GSM,False,17381,120,427,2,-41,4,0.0,25.362966,51.554779
936,936,946,25.36743,51.55122333333334,0.0,0.0,1561285862798,9,GSM,False,16573,120,427,2,-49,4,0.0,25.33103943,51.53343201
937,937,947,25.36743,51.55122333333334,0.0,0.0,1561285862798,10,GSM,False,16572,120,427,2,-75,4,0.0,25.336533,51.532517
938,938,948,25.36743,51.55122333333334,0.0,0.0,1561285862798,11,GSM,False,10022,120,427,2,-83,4,0.0,25.368139,51.546364
939,939,949,25.36743,51.55122333333334,0.0,0.0,1561285862798,12,GSM,False,10681,120,427,2,-101,2,0.0,25.359568,51.564293
940,940,950,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,0,GSM,True,40282,9402,427,1,-15,4,0.0,25.367661,51.550369
941,941,951,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,1,GSM,False,40283,9402,427,1,-21,4,0.0,25.369492,51.550598
942,942,952,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,2,GSM,False,40281,9402,427,1,-41,4,0.0,25.368256,51.557053
943,943,953,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,3,GSM,False,29173,9402,427,1,-69,4,0.0,25.366287,51.551102
944,944,954,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,4,GSM,False,29171,9402,427,1,-73,4,0.0,25.365463,51.559982
945,945,955,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,5,GSM,False,40721,9402,427,1,-85,4,0.0,25.370682,51.550003
946,946,956,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,6,GSM,False,22961,9401,427,1,-85,4,0.0,25.329208,51.529876
947,947,957,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,7,GSM,True,17382,120,427,2,13,4,0.0,25.3502655,51.53068542
948,948,958,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,8,GSM,False,17381,120,427,2,-41,4,0.0,25.362966,51.554779
949,949,959,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,9,GSM,False,16573,120,427,2,-49,4,0.0,25.33103943,51.53343201
950,950,960,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,10,GSM,False,16572,120,427,2,-75,4,0.0,25.336533,51.532517
951,951,961,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,11,GSM,False,10022,120,427,2,-83,4,0.0,25.368139,51.546364
952,952,962,25.36740333333333,51.55121833333333,0.0,0.0,1561285863883,12,GSM,False,10681,120,427,2,-101,2,0.0,25.359568,51.564293
953,953,963,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,0,GSM,True,40282,9402,427,1,-15,4,0.0,25.367661,51.550369
954,954,964,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,1,GSM,False,40283,9402,427,1,-21,4,0.0,25.369492,51.550598
955,955,965,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,2,GSM,False,40281,9402,427,1,-41,4,0.0,25.368256,51.557053
956,956,966,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,3,GSM,False,29173,9402,427,1,-69,4,0.0,25.366287,51.551102
957,957,967,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,4,GSM,False,29171,9402,427,1,-73,4,0.0,25.365463,51.559982
958,958,968,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,5,GSM,False,40721,9402,427,1,-85,4,0.0,25.370682,51.550003
959,959,969,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,6,GSM,False,22961,9401,427,1,-85,4,0.0,25.329208,51.529876
960,960,970,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,7,GSM,True,17382,120,427,2,13,4,0.0,25.3502655,51.53068542
961,961,971,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,8,GSM,False,17381,120,427,2,-41,4,0.0,25.362966,51.554779
962,962,972,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,9,GSM,False,16573,120,427,2,-49,4,0.0,25.33103943,51.53343201
963,963,973,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,10,GSM,False,16572,120,427,2,-75,4,0.0,25.336533,51.532517
964,964,974,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,11,GSM,False,10022,120,427,2,-83,4,0.0,25.368139,51.546364
965,965,975,25.367371666666667,51.55121833333333,0.0,0.0,1561285864758,12,GSM,False,10681,120,427,2,-101,2,0.0,25.359568,51.564293
966,966,976,25.367336666666667,51.55122,0.0,0.0,1561285865844,0,GSM,True,40282,9402,427,1,-15,4,0.0,25.367661,51.550369
967,967,977,25.367336666666667,51.55122,0.0,0.0,1561285865844,1,GSM,False,40283,9402,427,1,-21,4,0.0,25.369492,51.550598
