,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed,lat,lon,e_lat,e_lon,difference
0,0,0,0,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,0,GSM,True,40283,9402,427,1,-7,4,0.0,25.369492,51.550598,25.3687169971603,51.55184866940128,0.074793781156081
1,1,1,1,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,1,GSM,False,40282,9402,427,1,-23,4,0.0,25.367661,51.550369,25.3687169971603,51.55184866940128,0.074793781156081
2,2,2,2,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,2,GSM,False,40281,9402,427,1,-37,4,0.0,25.368256,51.557053,25.3687169971603,51.55184866940128,0.074793781156081
3,3,3,3,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,3,GSM,False,29173,9402,427,1,-67,4,0.0,25.366287,51.551102,25.3687169971603,51.55184866940128,0.074793781156081
4,4,4,4,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,4,GSM,False,25642,9402,427,1,-67,4,0.0,25.368494,51.552817,25.3687169971603,51.55184866940128,0.074793781156081
5,5,5,5,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,5,GSM,False,29171,9402,427,1,-77,4,0.0,25.365463,51.559982,25.3687169971603,51.55184866940128,0.074793781156081
6,6,6,6,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,6,GSM,False,49543,9402,427,1,-89,4,0.0,25.388344,51.551006,25.3687169971603,51.55184866940128,0.074793781156081
7,7,7,7,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,7,GSM,True,17383,120,427,2,11,4,0.0,25.368232,51.550961,25.3687169971603,51.55184866940128,0.074793781156081
8,8,8,8,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,8,GSM,False,17382,120,427,2,-3,4,0.0,25.3502655,51.53068542,25.3687169971603,51.55184866940128,0.074793781156081
9,9,9,9,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,9,GSM,False,16573,120,427,2,-35,4,0.0,25.33103943,51.53343201,25.3687169971603,51.55184866940128,0.074793781156081
10,10,10,10,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,10,GSM,False,17381,120,427,2,-37,4,0.0,25.362966,51.554779,25.3687169971603,51.55184866940128,0.074793781156081
11,11,11,11,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,11,GSM,False,10022,120,427,2,-71,4,0.0,25.368139,51.546364,25.3687169971603,51.55184866940128,0.074793781156081
12,12,12,12,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,0,GSM,True,40283,9402,427,1,-9,4,0.0,25.369492,51.550598,25.368643159433915,51.551755734592,0.059460242500951575
13,13,13,13,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,1,GSM,False,40282,9402,427,1,-25,4,0.0,25.367661,51.550369,25.368643159433915,51.551755734592,0.059460242500951575
14,14,14,14,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,2,GSM,False,40281,9402,427,1,-39,4,0.0,25.368256,51.557053,25.368643159433915,51.551755734592,0.059460242500951575
15,15,15,15,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,3,GSM,False,29173,9402,427,1,-67,4,0.0,25.366287,51.551102,25.368643159433915,51.551755734592,0.059460242500951575
16,16,16,16,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,4,GSM,False,25642,9402,427,1,-67,4,0.0,25.368494,51.552817,25.368643159433915,51.551755734592,0.059460242500951575
17,17,17,17,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,5,GSM,False,29171,9402,427,1,-77,4,0.0,25.365463,51.559982,25.368643159433915,51.551755734592,0.059460242500951575
18,18,18,18,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,6,GSM,False,49543,9402,427,1,-85,4,0.0,25.388344,51.551006,25.368643159433915,51.551755734592,0.059460242500951575
19,19,19,19,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,7,GSM,True,17383,120,427,2,11,4,0.0,25.368232,51.550961,25.368643159433915,51.551755734592,0.059460242500951575
20,20,20,20,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,8,GSM,False,17382,120,427,2,-3,4,0.0,25.3502655,51.53068542,25.368643159433915,51.551755734592,0.059460242500951575
21,21,21,21,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,9,GSM,False,16573,120,427,2,-35,4,0.0,25.33103943,51.53343201,25.368643159433915,51.551755734592,0.059460242500951575
22,22,22,22,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,10,GSM,False,17381,120,427,2,-37,4,0.0,25.362966,51.554779,25.368643159433915,51.551755734592,0.059460242500951575
23,23,23,23,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,11,GSM,False,10022,120,427,2,-69,4,0.0,25.368139,51.546364,25.368643159433915,51.551755734592,0.059460242500951575
