,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,lat,lon
3071,3071,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,2,GSM,False,49221,9402,427,1,-69,4,25.37086487,51.55128479
3072,3072,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,3,GSM,False,20003,9402,427,1,-71,4,25.3732,51.546154
3073,3073,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,4,GSM,False,43951,9402,427,1,-71,4,25.37047,51.53982
3074,3074,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,5,GSM,False,25642,9402,427,1,-73,4,25.368494,51.552817
3075,3075,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,6,GSM,True,10023,120,427,2,-45,4,25.366745,51.538238
3076,3076,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,7,GSM,False,10583,120,427,2,-53,4,25.374321,51.544645
3077,3077,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,8,GSM,False,16851,120,427,2,-55,4,25.373954,51.539088
3078,3078,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,9,GSM,False,10572,120,427,2,-61,4,25.37086487,51.53892517
3079,3079,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,10,GSM,False,10571,120,427,2,-61,4,25.369661,51.543964
3080,3080,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,11,GSM,False,17381,120,427,2,-67,4,25.362966,51.554779
3081,3081,25.37461166666667,51.54230666666668,0.0,0.0,1561286121228,12,GSM,False,10022,120,427,2,-71,4,25.368139,51.546364
3082,3082,25.37461166666667,51.54230666666668,0.0,0.0,1561286124154,5,GSM,True,17362,120,427,2,397,4,25.374465,51.54201
3083,3083,25.374368333333337,51.541655000000006,0.0,0.0,1561286124771,0,GSM,True,49543,9402,427,1,-61,4,25.388344,51.551006
3084,3084,25.374368333333337,51.541655000000006,0.0,0.0,1561286124771,1,GSM,False,49221,9402,427,1,-63,4,25.37086487,51.55128479
3085,3085,25.374368333333337,51.541655000000006,0.0,0.0,1561286124771,2,GSM,False,49222,9402,427,1,-69,4,25.375443,51.544876
3086,3086,25.374368333333337,51.541655000000006,0.0,0.0,1561286124771,3,GSM,False,43951,9402,427,1,-69,4,25.37047,51.53982
3087,3087,25.374368333333337,51.541655000000006,0.0,0.0,1561286124771,4,GSM,False,20003,9402,427,1,-77,4,25.3732,51.546154
3088,3088,25.374368333333337,51.541655000000006,0.0,0.0,1561286124771,5,GSM,True,17362,120,427,2,397,4,25.374465,51.54201
3089,3089,25.374368333333337,51.541655000000006,0.0,0.0,1561286124771,6,GSM,False,10583,120,427,2,-53,4,25.374321,51.544645
3090,3090,25.374368333333337,51.541655000000006,0.0,0.0,1561286124771,7,GSM,False,16851,120,427,2,-55,4,25.373954,51.539088
3091,3091,25.374368333333337,51.541655000000006,0.0,0.0,1561286124771,8,GSM,False,10571,120,427,2,-61,4,25.369661,51.543964
3092,3092,25.37420666666667,51.54127,0.0,0.0,1561286126592,0,GSM,True,49543,9402,427,1,-61,4,25.388344,51.551006
3093,3093,25.37420666666667,51.54127,0.0,0.0,1561286126592,1,GSM,False,49221,9402,427,1,-63,4,25.37086487,51.55128479
3094,3094,25.37420666666667,51.54127,0.0,0.0,1561286126592,2,GSM,False,49222,9402,427,1,-69,4,25.375443,51.544876
3095,3095,25.37420666666667,51.54127,0.0,0.0,1561286126592,3,GSM,False,43951,9402,427,1,-69,4,25.37047,51.53982
3096,3096,25.37420666666667,51.54127,0.0,0.0,1561286126592,4,GSM,False,20003,9402,427,1,-77,4,25.3732,51.546154
3097,3097,25.37420666666667,51.54127,0.0,0.0,1561286126592,5,GSM,True,17362,120,427,2,-57,4,25.374465,51.54201
3098,3098,25.37420666666667,51.54127,0.0,0.0,1561286126592,6,GSM,False,16851,120,427,2,-11,4,25.373954,51.539088
3099,3099,25.37420666666667,51.54127,0.0,0.0,1561286126592,7,GSM,False,10571,120,427,2,-37,4,25.369661,51.543964
3100,3100,25.37420666666667,51.54127,0.0,0.0,1561286126592,8,GSM,False,10583,120,427,2,-63,4,25.374321,51.544645
3101,3101,25.37420666666667,51.54127,0.0,0.0,1561286129642,1,GSM,False,25451,9402,427,1,-27,4,25.374525,51.540157
3102,3102,25.37420666666667,51.54127,0.0,0.0,1561286129642,8,GSM,False,16853,120,427,2,-45,4,25.370248,51.533936
3103,3103,25.37420666666667,51.54127,0.0,0.0,1561286129642,9,GSM,False,10023,120,427,2,-53,4,25.366745,51.538238
3104,3104,25.37420666666667,51.54127,0.0,0.0,1561286129642,10,GSM,False,16401,120,427,2,-61,4,25.364914,51.52359
3105,3105,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,0,GSM,True,49543,9402,427,1,-51,4,25.388344,51.551006
3106,3106,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,1,GSM,False,25451,9402,427,1,-27,4,25.374525,51.540157
3107,3107,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,2,GSM,False,43951,9402,427,1,-65,4,25.37047,51.53982
3108,3108,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,3,GSM,False,49222,9402,427,1,-69,4,25.375443,51.544876
3109,3109,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,4,GSM,False,20003,9402,427,1,-73,4,25.3732,51.546154
3110,3110,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,5,GSM,True,17362,120,427,2,-57,4,25.374465,51.54201
3111,3111,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,6,GSM,False,16851,120,427,2,-11,4,25.373954,51.539088
3112,3112,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,7,GSM,False,10571,120,427,2,-37,4,25.369661,51.543964
3113,3113,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,8,GSM,False,16853,120,427,2,-45,4,25.370248,51.533936
3114,3114,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,9,GSM,False,10023,120,427,2,-53,4,25.366745,51.538238
3115,3115,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,10,GSM,False,16401,120,427,2,-61,4,25.364914,51.52359
3116,3116,25.373996666666667,51.54044833333334,0.0,0.0,1561286131481,11,GSM,False,10583,120,427,2,-63,4,25.374321,51.544645
3117,3117,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,0,GSM,True,49543,9402,427,1,-67,4,25.388344,51.551006
