radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,427,2,20,172451,0,51.50733948,25.31593323,1000,1,1,1298277363,1298257563,0
UMTS,427,2,20,161161,0,51.51695251,25.32554626,1000,1,1,1298277508,1298257708,0
UMTS,427,2,20,175124,0,51.517639,25.335159,1000,2,1,1298277582,1427204419,0
UMTS,427,2,20,175123,0,51.51557922,25.34339905,1000,1,1,1298277660,1298257860,0
UMTS,427,2,60,171701,0,51.49772644,25.39283752,1000,1,1,1298278086,1298258286,0
UMTS,427,2,60,174160,0,51.48536682,25.42442322,1000,1,1,1298278233,1298258433,0
UMTS,427,2,60,174161,0,51.471636,25.466996,3058,2,1,1298278307,1298258739,0
UMTS,427,2,10,108318,0,51.4730072,25.47523499,1000,1,1,1298278451,1298258651,0
UMTS,427,2,10,108463,0,51.45240784,25.50956726,1000,1,1,1298278611,1298258811,0
UMTS,427,2,10,108554,0,51.455147,25.622183,4763,2,1,1298279210,1435023507,0
UMTS,427,2,10,108553,0,51.50047302,25.67436218,1000,1,1,1298279356,1298259556,0
UMTS,427,2,10,108247,0,51.514481,25.681229,1541,5,1,1298279429,1298261497,0
UMTS,427,2,10,108238,0,51.476223,25.706868,7642,3,1,1298279502,1435410785,0
UMTS,427,2,10,108237,0,51.511917,25.683518,1000,3,1,1298279574,1298261674,0
UMTS,427,2,10,98488,0,51.51832581,25.68122864,1000,1,1,1298281322,1298261522,0
UMTS,427,2,10,98489,0,51.51557922,25.68260193,1000,1,1,1298281399,1298261599,0
UMTS,427,2,10,108248,0,51.49085999,25.67710876,1000,1,1,1298281621,1298261821,0
UMTS,427,2,10,108555,0,51.47987366,25.66749573,1000,1,1,1298281697,1298261897,0
UMTS,427,2,60,162035,0,51.48674011,25.31181335,1000,1,1,1298396915,1298377115,0
UMTS,427,2,60,162363,0,51.49360657,25.30906677,1000,1,1,1298396988,1298377188,0
UMTS,427,2,60,162054,0,51.49635315,25.3049469,1000,3,1,1298397060,1367075065,0
UMTS,427,2,20,162115,0,51.49772644,25.30220032,1000,1,1,1298397137,1298377337,0
UMTS,427,2,60,171791,0,51.50047302,25.3818512,1000,1,1,1298535808,1298516008,0
GSM,427,1,9101,23553,0,51.477918,25.240969,1000,92,1,1304035215,1472996969,0
GSM,427,1,9101,24463,0,51.484611,25.241776,1254,20,1,1304035246,1476002499,0
GSM,427,1,9202,20433,0,51.49772644,25.258255,1000,1,1,1304208064,1304188264,0
UMTS,427,1,2102,1473168,0,51.42786,25.186329,1000,8,1,1307037417,1455924672,0
UMTS,427,1,1101,755360,0,51.495667,25.239716,1000,2,1,1314117635,1431132947,0
UMTS,427,1,1101,753901,0,51.508713,25.240403,1415,2,1,1314117898,1429543788,0
UMTS,427,1,1101,751239,0,51.498928,25.234051,1000,8,1,1320854029,1468818450,0
UMTS,427,1,2102,1492954,0,51.44142151,25.26649475,1000,1,1,1321926638,1321906838,0
UMTS,427,1,5105,3637634,0,51.474792,25.319504,1000,10,1,1323148682,1369739519,0
GSM,427,1,9501,21031,0,51.539791,25.275945,1000,303,1,1336046542,1491863203,0
GSM,427,1,9501,21033,0,51.534591,25.275006,1000,96,1,1336565135,1490761461,0
GSM,427,1,9301,25713,0,51.462149,25.354274,2308,172,1,1341101023,1475813248,0
GSM,427,1,9501,24473,0,51.510269,25.280045,1000,15,1,1341101046,1490927316,0
GSM,427,1,9501,21683,0,51.514506,25.287952,1000,32,1,1341101069,1491131355,0
GSM,427,1,9401,20222,0,51.522234,25.288784,1000,13,1,1341101075,1455876056,0
GSM,427,1,9401,22752,0,51.529587,25.289841,1000,10,1,1341101086,1481797452,0
GSM,427,1,9401,20312,0,51.547709,25.283185,1607,111,1,1341101387,1486870610,0
GSM,427,1,9501,23641,0,51.541814,25.263683,1000,106,1,1341144227,1477011411,0
GSM,427,1,9203,25152,0,51.438592,25.164918,1000,265,1,1351510963,1452069238,0
GSM,427,1,9203,24521,0,51.43426,25.171985,4145,395,1,1351510963,1492242323,0
GSM,427,1,9203,24513,0,51.428663,25.177083,3005,475,1,1351510963,1492468731,0
GSM,427,1,9201,21372,0,51.425953,25.181121,3444,571,1,1351510963,1492468731,0
GSM,427,1,9201,22633,0,51.430801,25.192795,1000,15,1,1351510963,1491369567,0
GSM,427,1,9201,22632,0,51.431343,25.192294,1152,127,1,1351510963,1491369567,0
GSM,427,1,9201,22631,0,51.433025,25.195084,1000,70,1,1351510963,1491369567,0
GSM,427,1,9201,24663,0,51.435564,25.189885,1000,98,1,1351510964,1491369567,0
GSM,427,1,9201,21371,0,51.432965,25.184685,1752,152,1,1351510964,1491369567,0
GSM,427,1,9203,24523,0,51.430695,25.172549,2040,708,1,1351510965,1491484375,0
GSM,427,1,9203,25153,0,51.436151,25.167036,1000,302,1,1351510965,1474071010,0
GSM,427,1,9203,21909,0,51.419645,25.178016,1282,7,1,1351510965,1416809567,0
GSM,427,1,9201,25962,0,51.411788,25.178831,3152,351,1,1351510965,1480339884,0
GSM,427,1,9302,22611,0,51.396305,25.174369,3124,489,1,1351510965,1490672293,0
GSM,427,1,9302,20041,0,51.391892,25.190818,3741,950,1,1351510966,1490672293,0
GSM,427,1,9302,21411,0,51.386997,25.199929,2754,842,1,1351510966,1490672298,0
GSM,427,1,9302,22482,0,51.358019,25.159263,11653,1136,1,1351510966,1475646787,0
GSM,427,1,9302,22483,0,51.336484,25.17569,4970,594,1,1351510966,1477183906,0
GSM,427,1,9302,21643,0,51.386879,25.159908,7612,3255,1,1351510966,1477177344,0
GSM,427,1,9302,22612,0,51.373284,25.150766,5056,683,1,1351510966,1475537548,0
GSM,427,1,9302,22761,0,51.37596,25.127752,11667,163,1,1351510966,1475101224,0
GSM,427,1,9302,21642,0,51.377031,25.132952,8820,428,1,1351510966,1469060040,0
GSM,427,1,9102,24293,0,51.37864,25.127829,4818,980,1,1351510967,1421130884,0
GSM,427,1,9102,24291,0,51.394564,25.112976,7463,855,1,1351510967,1421079787,0
GSM,427,1,9102,24292,0,51.412773,25.095366,11675,1065,1,1351510967,1421130673,0
GSM,427,1,9102,24333,0,51.419808,25.091889,8349,367,1,1351510968,1453850222,0
GSM,427,1,9102,22673,0,51.430214,25.080214,7641,1569,1,1351510968,1457561933,0
GSM,427,1,9102,24332,0,51.43145,25.081564,10170,1030,1,1351510969,1472262702,0
GSM,427,1,9302,23651,0,51.32908,25.174271,6627,1392,1,1351510969,1476398240,0
GSM,427,1,9302,23652,0,51.32048,25.170844,3272,914,1,1351510970,1475321076,0
GSM,427,1,9302,23653,0,51.313034,25.168087,5371,1464,1,1351510970,1493718963,0
GSM,427,1,9102,22671,0,51.466285,25.048645,18928,1243,1,1351510970,1476399024,0
GSM,427,1,9102,25753,0,51.480185,25.038048,11558,854,1,1351510970,1485519229,0
GSM,427,1,9102,22672,0,51.481729,25.03076,7309,532,1,1351510970,1438938800,0
GSM,427,1,9102,25752,0,51.497808,25.016112,6154,781,1,1351510971,1485519229,0
GSM,427,1,9302,22861,0,51.302929,25.160585,27254,513,1,1351510973,1477181268,0
GSM,427,1,9302,12763,0,51.351659,25.161117,7457,220,1,1351510973,1485451164,0
GSM,427,1,9101,23971,0,51.509023,25.231276,1495,16333,1,1351510973,1480903608,0
GSM,427,1,9101,25492,0,51.515579,25.236113,1982,4590,1,1351510973,1486703150,0
GSM,427,1,9101,21952,0,51.509778,25.232155,1681,4472,1,1351510973,1486703191,0
GSM,427,1,9101,21882,0,51.510217,25.23081,2276,325,1,1351510973,1469422341,0
GSM,427,1,9101,22622,0,51.509577,25.23239,1674,1112,1,1351510973,1487424404,0
GSM,427,1,9101,29412,0,51.50944,25.230395,9682,19384,1,1351510974,1492540200,0
GSM,427,1,9101,29413,0,51.514244,25.23275,1305,6479,1,1351510974,1480057409,0
GSM,427,1,9101,20842,0,51.509418,25.230189,3527,3515,1,1351510974,1480751881,0
GSM,427,1,9101,24832,0,51.509271,25.232934,1632,1366,1,1351510974,1472806249,0
GSM,427,1,9101,21723,0,51.514297,25.23211,4316,388,1,1351510974,1487424404,0
GSM,427,1,9101,20342,0,51.504502,25.232163,1000,182,1,1351510975,1475983000,0
GSM,427,1,21845,21845,0,51.475702,25.243505,94523,518,1,1351510975,1479650614,0
GSM,427,1,9203,25481,0,51.480696,25.184522,4934,55,1,1351510975,1470435139,0
GSM,427,1,9101,40421,0,51.481036,25.19881,1994,143,1,1351510975,1486720581,0
GSM,427,1,9101,40423,0,51.469861,25.19857,1577,206,1,1351510975,1476486937,0
GSM,427,1,9201,21423,0,51.453748,25.196724,1412,916,1,1351510976,1478779311,0
GSM,427,1,9201,29131,0,51.448819,25.193111,1000,282,1,1351510976,1478779311,0
GSM,427,1,9201,24661,0,51.442953,25.190167,1087,174,1,1351510976,1489674801,0
GSM,427,1,9201,29472,0,51.44434,25.192165,1101,16,1,1351510976,1358925526,0
GSM,427,1,9201,29473,0,51.441281,25.198323,1000,39,1,1351510976,1364776292,0
GSM,427,1,9201,21392,0,51.43052,25.19802,5761,145,1,1351510976,1492059768,0
GSM,427,1,9201,24662,0,51.437695,25.185791,1328,304,1,1351510976,1489678409,0
GSM,427,1,9201,24492,0,51.420134,25.184937,4013,36,1,1351510977,1480339884,0
GSM,427,1,9201,21373,0,51.425148,25.184811,2746,100,1,1351510977,1491369567,0
GSM,427,1,9201,22053,0,51.435718,25.199522,3916,13,1,1351510977,1431565855,0
GSM,427,1,9101,29483,0,51.485038,25.205651,1120,167,1,1351510978,1421079787,0
GSM,427,1,9101,25491,0,51.521333,25.23796,1548,406,1,1351510978,1486703150,0
