GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level
25.303105,51.518004999999995,0.0,0.0,1561287708020,0,GSM,true,49491,9401,427,1,-31,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,1,GSM,false,45071,9401,427,1,-37,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,2,GSM,false,44592,9401,427,1,-37,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,3,GSM,false,49492,9401,427,1,-39,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,4,GSM,false,45074,9401,427,1,-39,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,5,GSM,false,49703,9401,427,1,-43,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,6,GSM,false,49702,9401,427,1,-57,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,7,GSM,true,19912,121,427,2,-1,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,8,GSM,false,10771,161,427,2,-37,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,9,GSM,false,11131,161,427,2,-41,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,10,GSM,false,11903,121,427,2,-47,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,11,GSM,false,12032,121,427,2,-51,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,12,GSM,false,19913,121,427,2,-51,4
25.303105,51.518004999999995,0.0,0.0,1561287708020,13,GSM,false,11371,121,427,2,-57,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,0,GSM,true,49491,9401,427,1,-31,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,1,GSM,false,45071,9401,427,1,-37,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,2,GSM,false,44592,9401,427,1,-37,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,3,GSM,false,49492,9401,427,1,-39,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,4,GSM,false,45074,9401,427,1,-39,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,5,GSM,false,49703,9401,427,1,-43,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,6,GSM,false,49702,9401,427,1,-57,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,7,GSM,true,19912,121,427,2,-1,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,8,GSM,false,10771,161,427,2,-37,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,9,GSM,false,11131,161,427,2,-41,4
25.303105,51.518004999999995,0.0,0.0,1561287708206,10,GSM,false,11903,121,427,2,-47,4
