GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,0,GSM,true,40283,9402,427,1,-7,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,1,GSM,false,40282,9402,427,1,-23,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,2,GSM,false,40281,9402,427,1,-37,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,3,GSM,false,29173,9402,427,1,-67,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,4,GSM,false,25642,9402,427,1,-67,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,5,GSM,false,29171,9402,427,1,-77,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,6,GSM,false,49543,9402,427,1,-89,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,7,GSM,true,17383,120,427,2,11,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,8,GSM,false,17382,120,427,2,-3,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,9,GSM,false,16573,120,427,2,-35,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,10,GSM,false,17381,120,427,2,-37,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,11,GSM,false,10022,120,427,2,-71,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,0,GSM,true,40283,9402,427,1,-7,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,1,GSM,false,40282,9402,427,1,-23,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,2,GSM,false,40281,9402,427,1,-37,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,3,GSM,false,29173,9402,427,1,-67,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,4,GSM,false,25642,9402,427,1,-67,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,5,GSM,false,29171,9402,427,1,-77,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,6,GSM,false,49543,9402,427,1,-89,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,7,GSM,true,17383,120,427,2,11,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,8,GSM,false,17382,120,427,2,-3,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,9,GSM,false,16573,120,427,2,-35,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,10,GSM,false,17381,120,427,2,-37,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792046,11,GSM,false,10022,120,427,2,-71,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,0,GSM,true,40283,9402,427,1,-7,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,1,GSM,false,40282,9402,427,1,-23,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,2,GSM,false,40281,9402,427,1,-37,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,3,GSM,false,29173,9402,427,1,-67,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,4,GSM,false,25642,9402,427,1,-67,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,5,GSM,false,29171,9402,427,1,-77,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,6,GSM,false,49543,9402,427,1,-89,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,7,GSM,true,17383,120,427,2,11,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,8,GSM,false,17382,120,427,2,-3,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,9,GSM,false,16573,120,427,2,-35,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,10,GSM,false,17381,120,427,2,-37,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792213,11,GSM,false,10022,120,427,2,-71,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792382,0,GSM,true,40283,9402,427,1,-7,4
25.36886833333333,51.55112333333333,0.0,0.0,1561285792382,1,GSM,false,40282,9402,427,1,-23,4
