,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed
0,25.2555,51.43986499999999,0.0,0.0,1561293742952,0,GSM,True,25973,9202,427,1,11,4,0
1,25.2555,51.43986499999999,0.0,0.0,1561293742952,1,GSM,False,21113,9202,427,1,-49,4,0
2,25.2555,51.43986499999999,0.0,0.0,1561293742952,2,GSM,False,25972,9202,427,1,-55,4,0
3,25.2555,51.43986499999999,0.0,0.0,1561293742952,3,GSM,False,25971,9202,427,1,-61,4,0
4,25.2555,51.43986499999999,0.0,0.0,1561293742952,4,GSM,False,21523,9202,427,1,-67,4,0
5,25.2555,51.43986499999999,0.0,0.0,1561293742952,5,GSM,False,21522,9202,427,1,-69,4,0
6,25.2555,51.43986499999999,0.0,0.0,1561293742952,6,GSM,False,22553,9202,427,1,-77,4,0
7,25.2555,51.43986499999999,0.0,0.0,1561293742952,7,GSM,True,11359,181,427,2,-1,4,0
8,25.2555,51.43986499999999,0.0,0.0,1561293742952,8,GSM,False,11358,181,427,2,-37,4,0
9,25.2555,51.43986499999999,0.0,0.0,1561293742952,9,GSM,False,10673,181,427,2,-39,4,0
10,25.2555,51.43986499999999,0.0,0.0,1561293742952,10,GSM,False,11833,181,427,2,-41,4,0
11,25.2555,51.43986499999999,0.0,0.0,1561293742952,11,GSM,False,11867,181,427,2,-43,4,0
12,25.2555,51.43986499999999,0.0,0.0,1561293742952,12,GSM,False,17812,181,427,2,-67,4,0
13,25.2555,51.43986499999999,0.0,0.0,1561293742952,13,GSM,False,11357,181,427,2,-71,4,0
14,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,0,GSM,True,25973,9202,427,1,11,4,0
15,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,1,GSM,False,21113,9202,427,1,-49,4,0
16,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,2,GSM,False,25972,9202,427,1,-55,4,0
17,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,3,GSM,False,25971,9202,427,1,-61,4,0
18,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,4,GSM,False,21523,9202,427,1,-67,4,0
19,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,5,GSM,False,21522,9202,427,1,-69,4,0
20,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,6,GSM,False,22553,9202,427,1,-77,4,0
21,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,7,GSM,True,11359,181,427,2,-1,4,0
22,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,8,GSM,False,11358,181,427,2,-37,4,0
