,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed
0,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,0,GSM,True,29172,9402,427,1,-19,4,0
1,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,1,GSM,False,40281,9402,427,1,-35,4,0
2,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,2,GSM,False,45953,9402,427,1,-51,4,0
3,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,3,GSM,False,29173,9402,427,1,-57,4,0
4,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,4,GSM,False,29171,9402,427,1,-71,4,0
5,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,5,GSM,False,40722,9402,427,1,-91,3,0
6,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,6,GSM,False,40282,9402,427,1,-91,3,0
7,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,7,GSM,True,16573,120,427,2,1,4,0
8,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,8,GSM,False,16572,120,427,2,-3,4,0
9,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,9,GSM,False,16571,120,427,2,-21,4,0
10,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,10,GSM,False,17381,120,427,2,-39,4,0
11,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,11,GSM,False,10682,120,427,2,-43,4,0
12,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,12,GSM,False,10683,120,427,2,-47,4,0
13,25.36500333333333,51.55273333333333,0.0,0.0,1561282745141,13,GSM,False,10451,120,427,2,-59,4,0
14,25.364931666666667,51.55275,0.0,0.0,1561282745841,0,GSM,True,29172,9402,427,1,-19,4,0
15,25.364931666666667,51.55275,0.0,0.0,1561282745841,1,GSM,False,40281,9402,427,1,-35,4,0
16,25.364931666666667,51.55275,0.0,0.0,1561282745841,2,GSM,False,45953,9402,427,1,-51,4,0
17,25.364931666666667,51.55275,0.0,0.0,1561282745841,3,GSM,False,29173,9402,427,1,-57,4,0
18,25.364931666666667,51.55275,0.0,0.0,1561282745841,4,GSM,False,29171,9402,427,1,-71,4,0
