,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed
0,25.303105,51.518005,0.0,0.0,1561287708020,0,GSM,True,49491,9401,427,1,-31,4,0
1,25.303105,51.518005,0.0,0.0,1561287708020,1,GSM,False,45071,9401,427,1,-37,4,0
2,25.303105,51.518005,0.0,0.0,1561287708020,2,GSM,False,44592,9401,427,1,-37,4,0
3,25.303105,51.518005,0.0,0.0,1561287708020,3,GSM,False,49492,9401,427,1,-39,4,0
4,25.303105,51.518005,0.0,0.0,1561287708020,4,GSM,False,45074,9401,427,1,-39,4,0
5,25.303105,51.518005,0.0,0.0,1561287708020,5,GSM,False,49703,9401,427,1,-43,4,0
6,25.303105,51.518005,0.0,0.0,1561287708020,6,GSM,False,49702,9401,427,1,-57,4,0
7,25.303105,51.518005,0.0,0.0,1561287708020,7,GSM,True,19912,121,427,2,-1,4,0
8,25.303105,51.518005,0.0,0.0,1561287708020,8,GSM,False,10771,161,427,2,-37,4,0
9,25.303105,51.518005,0.0,0.0,1561287708020,9,GSM,False,11131,161,427,2,-41,4,0
10,25.303105,51.518005,0.0,0.0,1561287708020,10,GSM,False,11903,121,427,2,-47,4,0
11,25.303105,51.518005,0.0,0.0,1561287708020,11,GSM,False,12032,121,427,2,-51,4,0
12,25.303105,51.518005,0.0,0.0,1561287708020,12,GSM,False,19913,121,427,2,-51,4,0
13,25.303105,51.518005,0.0,0.0,1561287708020,13,GSM,False,11371,121,427,2,-57,4,0
14,25.303105,51.51800333333334,0.0,0.0,1561287709651,0,GSM,True,49491,9401,427,1,-31,4,0
15,25.303105,51.51800333333334,0.0,0.0,1561287709651,1,GSM,False,45071,9401,427,1,-37,4,0
16,25.303105,51.51800333333334,0.0,0.0,1561287709651,2,GSM,False,44592,9401,427,1,-37,4,0
17,25.303105,51.51800333333334,0.0,0.0,1561287709651,3,GSM,False,49492,9401,427,1,-39,4,0
18,25.303105,51.51800333333334,0.0,0.0,1561287709651,4,GSM,False,45074,9401,427,1,-39,4,0
19,25.303105,51.51800333333334,0.0,0.0,1561287709651,5,GSM,False,49703,9401,427,1,-43,4,0
20,25.303105,51.51800333333334,0.0,0.0,1561287709651,6,GSM,False,49702,9401,427,1,-57,4,0
21,25.303105,51.51800333333334,0.0,0.0,1561287709651,7,GSM,True,19912,121,427,2,-1,4,0
22,25.303105,51.51800333333334,0.0,0.0,1561287709651,8,GSM,False,10771,161,427,2,-37,4,0
23,25.303105,51.51800333333334,0.0,0.0,1561287709651,9,GSM,False,11131,161,427,2,-41,4,0
24,25.303105,51.51800333333334,0.0,0.0,1561287709651,10,GSM,False,11903,121,427,2,-47,4,0
25,25.303105,51.51800333333334,0.0,0.0,1561287709651,11,GSM,False,12032,121,427,2,-51,4,0
26,25.303105,51.51800333333334,0.0,0.0,1561287709651,12,GSM,False,19913,121,427,2,-51,4,0
27,25.303105,51.51800333333334,0.0,0.0,1561287709651,13,GSM,False,11371,121,427,2,-57,4,0
28,25.303105,51.518,0.0,0.0,1561287710752,0,GSM,True,49491,9401,427,1,-31,4,0
29,25.303105,51.518,0.0,0.0,1561287710752,1,GSM,False,45071,9401,427,1,-37,4,0
30,25.303105,51.518,0.0,0.0,1561287710752,2,GSM,False,44592,9401,427,1,-37,4,0
31,25.303105,51.518,0.0,0.0,1561287710752,3,GSM,False,49492,9401,427,1,-39,4,0
32,25.303105,51.518,0.0,0.0,1561287710752,4,GSM,False,45074,9401,427,1,-39,4,0
33,25.303105,51.518,0.0,0.0,1561287710752,5,GSM,False,49703,9401,427,1,-43,4,0
34,25.303105,51.518,0.0,0.0,1561287710752,6,GSM,False,49702,9401,427,1,-57,4,0
35,25.303105,51.518,0.0,0.0,1561287710752,7,GSM,True,19912,121,427,2,-5,4,0
