,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed,lat,lon
0,25.2555,51.43986499999999,0.0,0.0,1561293742952,0,GSM,True,25973,9202,427,1,11,4,0.0,25.25584,51.438789
1,25.2555,51.43986499999999,0.0,0.0,1561293742952,1,GSM,False,21113,9202,427,1,-49,4,0.0,25.256448,51.435856
2,25.2555,51.43986499999999,0.0,0.0,1561293742952,2,GSM,False,25972,9202,427,1,-55,4,0.0,25.253414,51.440907
3,25.2555,51.43986499999999,0.0,0.0,1561293742952,3,GSM,False,25971,9202,427,1,-61,4,0.0,25.257727,51.444905
4,25.2555,51.43986499999999,0.0,0.0,1561293742952,4,GSM,False,21523,9202,427,1,-67,4,0.0,25.259682,51.4474
5,25.2555,51.43986499999999,0.0,0.0,1561293742952,5,GSM,False,21522,9202,427,1,-69,4,0.0,25.251775,51.451099
6,25.2555,51.43986499999999,0.0,0.0,1561293742952,6,GSM,False,22553,9202,427,1,-77,4,0.0,25.254828,51.428487
7,25.2555,51.43986499999999,0.0,0.0,1561293742952,7,GSM,True,11359,181,427,2,-1,4,0.0,25.261778,51.440108
8,25.2555,51.43986499999999,0.0,0.0,1561293742952,8,GSM,False,11358,181,427,2,-37,4,0.0,25.256882,51.442108
9,25.2555,51.43986499999999,0.0,0.0,1561293742952,9,GSM,False,10673,181,427,2,-39,4,0.0,25.261345,51.445885
10,25.2555,51.43986499999999,0.0,0.0,1561293742952,10,GSM,False,11833,181,427,2,-41,4,0.0,25.260413,51.442991
11,25.2555,51.43986499999999,0.0,0.0,1561293742952,11,GSM,False,11867,181,427,2,-43,4,0.0,25.249313,51.430285
12,25.2555,51.43986499999999,0.0,0.0,1561293742952,12,GSM,False,17812,181,427,2,-67,4,0.0,25.26059,51.43634
13,25.2555,51.43986499999999,0.0,0.0,1561293742952,13,GSM,False,11357,181,427,2,-71,4,0.0,25.259628,51.447372
14,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,0,GSM,True,25973,9202,427,1,11,4,0.0,25.25584,51.438789
15,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,1,GSM,False,21113,9202,427,1,-49,4,0.0,25.256448,51.435856
16,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,2,GSM,False,25972,9202,427,1,-55,4,0.0,25.253414,51.440907
17,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,3,GSM,False,25971,9202,427,1,-61,4,0.0,25.257727,51.444905
18,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,4,GSM,False,21523,9202,427,1,-67,4,0.0,25.259682,51.4474
19,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,5,GSM,False,21522,9202,427,1,-69,4,0.0,25.251775,51.451099
20,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,6,GSM,False,22553,9202,427,1,-77,4,0.0,25.254828,51.428487
21,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,7,GSM,True,11359,181,427,2,-1,4,0.0,25.261778,51.440108
22,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,8,GSM,False,11358,181,427,2,-37,4,0.0,25.256882,51.442108
23,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,9,GSM,False,10673,181,427,2,-39,4,0.0,25.261345,51.445885
24,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,10,GSM,False,11833,181,427,2,-41,4,0.0,25.260413,51.442991
25,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,11,GSM,False,11867,181,427,2,-43,4,0.0,25.249313,51.430285
26,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,12,GSM,False,17812,181,427,2,-67,4,0.0,25.26059,51.43634
27,25.255501666666667,51.43986499999999,0.0,0.0,1561293743305,13,GSM,False,11357,181,427,2,-71,4,0.0,25.259628,51.447372
28,25.2555,51.439875,0.0,0.0,1561293744213,0,GSM,True,25973,9202,427,1,11,4,0.0,25.25584,51.438789
29,25.2555,51.439875,0.0,0.0,1561293744213,1,GSM,False,21113,9202,427,1,-49,4,0.0,25.256448,51.435856
30,25.2555,51.439875,0.0,0.0,1561293744213,2,GSM,False,25972,9202,427,1,-55,4,0.0,25.253414,51.440907
31,25.2555,51.439875,0.0,0.0,1561293744213,3,GSM,False,25971,9202,427,1,-61,4,0.0,25.257727,51.444905
32,25.2555,51.439875,0.0,0.0,1561293744213,4,GSM,False,21523,9202,427,1,-67,4,0.0,25.259682,51.4474
33,25.2555,51.439875,0.0,0.0,1561293744213,5,GSM,False,21522,9202,427,1,-69,4,0.0,25.251775,51.451099
34,25.2555,51.439875,0.0,0.0,1561293744213,6,GSM,False,22553,9202,427,1,-77,4,0.0,25.254828,51.428487
