,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed,lat,lon
0,25.303105,51.518005,0.0,0.0,1561287708020,0,GSM,True,49491,9401,427,1,-31,4,0.0,25.297463,51.523592
1,25.303105,51.518005,0.0,0.0,1561287708020,1,GSM,False,45071,9401,427,1,-37,4,0.0,25.301909,51.517847
2,25.303105,51.518005,0.0,0.0,1561287708020,2,GSM,False,44592,9401,427,1,-37,4,0.0,25.30014,51.519012
3,25.303105,51.518005,0.0,0.0,1561287708020,3,GSM,False,49492,9401,427,1,-39,4,0.0,25.296854,51.512713
4,25.303105,51.518005,0.0,0.0,1561287708020,4,GSM,False,45074,9401,427,1,-39,4,0.0,25.298218,51.52228
5,25.303105,51.518005,0.0,0.0,1561287708020,5,GSM,False,49703,9401,427,1,-43,4,0.0,25.29396057,51.54579163
6,25.303105,51.518005,0.0,0.0,1561287708020,6,GSM,False,49702,9401,427,1,-57,4,0.0,25.29396057,51.54579163
7,25.303105,51.518005,0.0,0.0,1561287708020,7,GSM,True,19912,121,427,2,-1,4,0.0,25.29670715,51.51695251
8,25.303105,51.518005,0.0,0.0,1561287708020,8,GSM,False,10771,161,427,2,-37,4,0.0,25.304572,51.514206
9,25.303105,51.518005,0.0,0.0,1561287708020,9,GSM,False,11131,161,427,2,-41,4,0.0,25.287305,51.517058
10,25.303105,51.518005,0.0,0.0,1561287708020,10,GSM,False,11903,121,427,2,-47,4,0.0,25.291443,51.530685
11,25.303105,51.518005,0.0,0.0,1561287708020,11,GSM,False,12032,121,427,2,-51,4,0.0,25.28846741,51.53892517
12,25.303105,51.518005,0.0,0.0,1561287708020,12,GSM,False,19913,121,427,2,-51,4,0.0,25.304204,51.513501
13,25.303105,51.518005,0.0,0.0,1561287708020,13,GSM,False,11371,121,427,2,-57,4,0.0,25.309891,51.516266
14,25.303105,51.51800333333334,0.0,0.0,1561287709651,0,GSM,True,49491,9401,427,1,-31,4,0.0,25.297463,51.523592
15,25.303105,51.51800333333334,0.0,0.0,1561287709651,1,GSM,False,45071,9401,427,1,-37,4,0.0,25.301909,51.517847
16,25.303105,51.51800333333334,0.0,0.0,1561287709651,2,GSM,False,44592,9401,427,1,-37,4,0.0,25.30014,51.519012
17,25.303105,51.51800333333334,0.0,0.0,1561287709651,3,GSM,False,49492,9401,427,1,-39,4,0.0,25.296854,51.512713
18,25.303105,51.51800333333334,0.0,0.0,1561287709651,4,GSM,False,45074,9401,427,1,-39,4,0.0,25.298218,51.52228
19,25.303105,51.51800333333334,0.0,0.0,1561287709651,5,GSM,False,49703,9401,427,1,-43,4,0.0,25.29396057,51.54579163
20,25.303105,51.51800333333334,0.0,0.0,1561287709651,6,GSM,False,49702,9401,427,1,-57,4,0.0,25.29396057,51.54579163
21,25.303105,51.51800333333334,0.0,0.0,1561287709651,7,GSM,True,19912,121,427,2,-1,4,0.0,25.29670715,51.51695251
22,25.303105,51.51800333333334,0.0,0.0,1561287709651,8,GSM,False,10771,161,427,2,-37,4,0.0,25.304572,51.514206
23,25.303105,51.51800333333334,0.0,0.0,1561287709651,9,GSM,False,11131,161,427,2,-41,4,0.0,25.287305,51.517058
24,25.303105,51.51800333333334,0.0,0.0,1561287709651,10,GSM,False,11903,121,427,2,-47,4,0.0,25.291443,51.530685
25,25.303105,51.51800333333334,0.0,0.0,1561287709651,11,GSM,False,12032,121,427,2,-51,4,0.0,25.28846741,51.53892517
26,25.303105,51.51800333333334,0.0,0.0,1561287709651,12,GSM,False,19913,121,427,2,-51,4,0.0,25.304204,51.513501
27,25.303105,51.51800333333334,0.0,0.0,1561287709651,13,GSM,False,11371,121,427,2,-57,4,0.0,25.309891,51.516266
28,25.303105,51.518,0.0,0.0,1561287710752,0,GSM,True,49491,9401,427,1,-31,4,0.0,25.297463,51.523592
29,25.303105,51.518,0.0,0.0,1561287710752,1,GSM,False,45071,9401,427,1,-37,4,0.0,25.301909,51.517847
30,25.303105,51.518,0.0,0.0,1561287710752,2,GSM,False,44592,9401,427,1,-37,4,0.0,25.30014,51.519012
31,25.303105,51.518,0.0,0.0,1561287710752,3,GSM,False,49492,9401,427,1,-39,4,0.0,25.296854,51.512713
32,25.303105,51.518,0.0,0.0,1561287710752,4,GSM,False,45074,9401,427,1,-39,4,0.0,25.298218,51.52228
33,25.303105,51.518,0.0,0.0,1561287710752,5,GSM,False,49703,9401,427,1,-43,4,0.0,25.29396057,51.54579163
34,25.303105,51.518,0.0,0.0,1561287710752,6,GSM,False,49702,9401,427,1,-57,4,0.0,25.29396057,51.54579163
35,25.303105,51.518,0.0,0.0,1561287710752,7,GSM,True,19912,121,427,2,-5,4,0.0,25.29670715,51.51695251
36,25.303105,51.518,0.0,0.0,1561287710752,8,GSM,False,10771,161,427,2,-35,4,0.0,25.304572,51.514206
37,25.303105,51.518,0.0,0.0,1561287710752,9,GSM,False,11131,161,427,2,-41,4,0.0,25.287305,51.517058
38,25.303105,51.518,0.0,0.0,1561287710752,10,GSM,False,11903,121,427,2,-45,4,0.0,25.291443,51.530685
39,25.303105,51.518,0.0,0.0,1561287710752,11,GSM,False,19913,121,427,2,-49,4,0.0,25.304204,51.513501
40,25.303105,51.518,0.0,0.0,1561287710752,12,GSM,False,12032,121,427,2,-51,4,0.0,25.28846741,51.53892517
41,25.303105,51.518,0.0,0.0,1561287710752,13,GSM,False,11371,121,427,2,-53,4,0.0,25.309891,51.516266
42,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,0,GSM,True,49491,9401,427,1,-31,4,0.0,25.297463,51.523592
43,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,1,GSM,False,45071,9401,427,1,-37,4,0.0,25.301909,51.517847
44,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,2,GSM,False,44592,9401,427,1,-37,4,0.0,25.30014,51.519012
45,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,3,GSM,False,49492,9401,427,1,-39,4,0.0,25.296854,51.512713
46,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,4,GSM,False,45074,9401,427,1,-39,4,0.0,25.298218,51.52228
47,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,5,GSM,False,49703,9401,427,1,-43,4,0.0,25.29396057,51.54579163
48,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,6,GSM,False,49702,9401,427,1,-57,4,0.0,25.29396057,51.54579163
49,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,7,GSM,True,19912,121,427,2,-5,4,0.0,25.29670715,51.51695251
50,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,8,GSM,False,10771,161,427,2,-35,4,0.0,25.304572,51.514206
51,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,9,GSM,False,11131,161,427,2,-41,4,0.0,25.287305,51.517058
52,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,10,GSM,False,11903,121,427,2,-45,4,0.0,25.291443,51.530685
53,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,11,GSM,False,19913,121,427,2,-49,4,0.0,25.304204,51.513501
54,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,12,GSM,False,12032,121,427,2,-51,4,0.0,25.28846741,51.53892517
55,25.30310833333333,51.517986666666665,0.0,0.0,1561287711747,13,GSM,False,11371,121,427,2,-53,4,0.0,25.309891,51.516266
56,25.303115,51.51799166666667,0.0,0.0,1561287712677,0,GSM,True,49491,9401,427,1,-37,4,0.0,25.297463,51.523592
57,25.303115,51.51799166666667,0.0,0.0,1561287712677,1,GSM,False,44592,9401,427,1,-27,4,0.0,25.30014,51.519012
58,25.303115,51.51799166666667,0.0,0.0,1561287712677,2,GSM,False,45071,9401,427,1,-39,4,0.0,25.301909,51.517847
59,25.303115,51.51799166666667,0.0,0.0,1561287712677,3,GSM,False,45074,9401,427,1,-41,4,0.0,25.298218,51.52228
60,25.303115,51.51799166666667,0.0,0.0,1561287712677,4,GSM,False,49492,9401,427,1,-43,4,0.0,25.296854,51.512713
61,25.303115,51.51799166666667,0.0,0.0,1561287712677,5,GSM,False,49703,9401,427,1,-43,4,0.0,25.29396057,51.54579163
62,25.303115,51.51799166666667,0.0,0.0,1561287712677,6,GSM,False,25942,9401,427,1,-59,4,0.0,25.291788,51.514406
63,25.303115,51.51799166666667,0.0,0.0,1561287712677,7,GSM,True,19912,121,427,2,-5,4,0.0,25.29670715,51.51695251
64,25.303115,51.51799166666667,0.0,0.0,1561287712677,8,GSM,False,10771,161,427,2,-39,4,0.0,25.304572,51.514206
65,25.303115,51.51799166666667,0.0,0.0,1561287712677,9,GSM,False,11131,161,427,2,-41,4,0.0,25.287305,51.517058
66,25.303115,51.51799166666667,0.0,0.0,1561287712677,10,GSM,False,11903,121,427,2,-43,4,0.0,25.291443,51.530685
67,25.303115,51.51799166666667,0.0,0.0,1561287712677,11,GSM,False,19913,121,427,2,-47,4,0.0,25.304204,51.513501
68,25.303115,51.51799166666667,0.0,0.0,1561287712677,12,GSM,False,12032,121,427,2,-53,4,0.0,25.28846741,51.53892517
69,25.303115,51.51799166666667,0.0,0.0,1561287712677,13,GSM,False,10532,120,427,2,-53,4,0.0,25.317536,51.527775
70,25.30312333333333,51.517985,0.0,0.0,1561287713738,0,GSM,True,49491,9401,427,1,-37,4,0.0,25.297463,51.523592
71,25.30312333333333,51.517985,0.0,0.0,1561287713738,1,GSM,False,44592,9401,427,1,-27,4,0.0,25.30014,51.519012
72,25.30312333333333,51.517985,0.0,0.0,1561287713738,2,GSM,False,45071,9401,427,1,-39,4,0.0,25.301909,51.517847
73,25.30312333333333,51.517985,0.0,0.0,1561287713738,3,GSM,False,45074,9401,427,1,-41,4,0.0,25.298218,51.52228
74,25.30312333333333,51.517985,0.0,0.0,1561287713738,4,GSM,False,49492,9401,427,1,-43,4,0.0,25.296854,51.512713
75,25.30312333333333,51.517985,0.0,0.0,1561287713738,5,GSM,False,49703,9401,427,1,-43,4,0.0,25.29396057,51.54579163
76,25.30312333333333,51.517985,0.0,0.0,1561287713738,6,GSM,False,25942,9401,427,1,-59,4,0.0,25.291788,51.514406
77,25.30312333333333,51.517985,0.0,0.0,1561287713738,7,GSM,True,19912,121,427,2,-5,4,0.0,25.29670715,51.51695251
78,25.30312333333333,51.517985,0.0,0.0,1561287713738,8,GSM,False,10771,161,427,2,-39,4,0.0,25.304572,51.514206
